  
       RFOIL         Version 3.00
  
 Calculated polar for: du_96-w-180                     
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     10.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.17000002E+02    -0.14150435E+01     0.25713999E-01     0.10000000E+02    -0.48342068E-01     0.93171525E+00     0.38200540E-02     0.22144318E-01     101     0.75165741E-01
-0.16500000E+02    -0.14053419E+01     0.22626026E-01     0.10000000E+02    -0.47528412E-01     0.88606083E+00     0.39588031E-02     0.18843105E-01     102     0.67476571E-01
-0.16000002E+02    -0.13883953E+01     0.20166229E-01     0.10000000E+02    -0.46565030E-01     0.84378111E+00     0.40697465E-02     0.16202172E-01     102     0.67476571E-01
-0.15500001E+02    -0.13656584E+01     0.18230971E-01     0.10000000E+02    -0.45505967E-01     0.78557926E+00     0.41675442E-02     0.14059719E-01     102     0.67476571E-01
-0.15000001E+02    -0.13386976E+01     0.16652614E-01     0.10000000E+02    -0.44304166E-01     0.73741996E+00     0.42911172E-02     0.12307241E-01     103     0.59972800E-01
-0.14500000E+02    -0.13077406E+01     0.15377665E-01     0.10000000E+02    -0.43034676E-01     0.69871408E+00     0.44151228E-02     0.10888034E-01     103     0.59972800E-01
-0.14000001E+02    -0.12790965E+01     0.14351797E-01     0.10000000E+02    -0.40658090E-01     0.67457783E+00     0.44820383E-02     0.97571705E-02     103     0.59972800E-01
-0.13500001E+02    -0.12347122E+01     0.13661915E-01     0.10000000E+02    -0.39987452E-01     0.65334302E+00     0.45414316E-02     0.89966282E-02     104     0.52693468E-01
-0.13000001E+02    -0.11867225E+01     0.13077104E-01     0.10000000E+02    -0.39702617E-01     0.63785785E+00     0.45729601E-02     0.83689261E-02     104     0.52693468E-01
-0.12500001E+02    -0.11390468E+01     0.12332079E-01     0.10000000E+02    -0.39357945E-01     0.62336630E+00     0.48984177E-02     0.75448705E-02     105     0.45696761E-01
-0.12000000E+02    -0.10891497E+01     0.11651543E-01     0.10000000E+02    -0.39253708E-01     0.61202019E+00     0.53860350E-02     0.68123434E-02     105     0.45696761E-01
-0.11500001E+02    -0.10368911E+01     0.11104812E-01     0.10000000E+02    -0.39431840E-01     0.60032690E+00     0.57282443E-02     0.62282309E-02     106     0.39064076E-01
-0.11000001E+02    -0.98308396E+00     0.10631370E-01     0.10000000E+02    -0.39787196E-01     0.59124178E+00     0.60485248E-02     0.57276096E-02     106     0.39064076E-01
-0.10000001E+02    -0.87268114E+00     0.97932005E-02     0.10000000E+02    -0.40832330E-01     0.57411969E+00     0.68770251E-02     0.48368885E-02     107     0.32897286E-01
-0.95000010E+01    -0.81667638E+00     0.93712658E-02     0.10000000E+02    -0.41458968E-01     0.56677181E+00     0.75847115E-02     0.44016829E-02     108     0.27300922E-01
-0.90000000E+01    -0.75971282E+00     0.90308469E-02     0.10000000E+02    -0.42207688E-01     0.55884928E+00     0.81610326E-02     0.40444466E-02     108     0.27300922E-01
-0.85000019E+01    -0.70226330E+00     0.87052444E-02     0.10000000E+02    -0.43016694E-01     0.55219764E+00     0.89970892E-02     0.37004603E-02     109     0.22353005E-01
-0.80000010E+01    -0.64444357E+00     0.83776042E-02     0.10000000E+02    -0.43879155E-01     0.54540008E+00     0.10087381E-01     0.33727232E-02     109     0.22353005E-01
-0.75000005E+01    -0.58602798E+00     0.81030494E-02     0.10000000E+02    -0.44818893E-01     0.53932500E+00     0.11312006E-01     0.30901153E-02     110     0.18079460E-01
-0.70000014E+01    -0.52738225E+00     0.78313146E-02     0.10000000E+02    -0.45800399E-01     0.53261811E+00     0.13059616E-01     0.28185928E-02     110     0.18079460E-01
-0.65000010E+01    -0.46831986E+00     0.75683477E-02     0.10000000E+02    -0.46838749E-01     0.52747512E+00     0.15700949E-01     0.25687534E-02     111     0.14450815E-01
-0.60000000E+01    -0.40900457E+00     0.73330519E-02     0.10000000E+02    -0.47918592E-01     0.52127069E+00     0.19278206E-01     0.23429156E-02     111     0.14450815E-01
-0.55000014E+01    -0.34941119E+00     0.70997803E-02     0.10000000E+02    -0.49047913E-01     0.51631862E+00     0.24625022E-01     0.21325429E-02     112     0.11402040E-01
-0.50000010E+01    -0.28969535E+00     0.68529188E-02     0.10000000E+02    -0.50213005E-01     0.51049662E+00     0.35181604E-01     0.19265474E-02     113     0.88559883E-02
-0.45000000E+01    -0.22981107E+00     0.65986114E-02     0.10000000E+02    -0.51424190E-01     0.50501645E+00     0.53081673E-01     0.17323890E-02     114     0.67369929E-02
-0.40000014E+01    -0.16977412E+00     0.62880553E-02     0.10000000E+02    -0.52706171E-01     0.50026774E+00     0.85088432E-01     0.15372895E-02     114     0.67369929E-02
-0.35000007E+01    -0.10957018E+00     0.59799594E-02     0.10000000E+02    -0.54053657E-01     0.49488857E+00     0.12844911E+00     0.13635946E-02     115     0.49813110E-02
-0.30000000E+01    -0.48964437E-01     0.57279593E-02     0.10000000E+02    -0.55438675E-01     0.49042526E+00     0.16714551E+00     0.12326441E-02     116     0.35402507E-02
-0.25000012E+01     0.11747947E-01     0.55015748E-02     0.10000000E+02    -0.56858752E-01     0.48515359E+00     0.21154222E+00     0.11238665E-02     117     0.23781518E-02
-0.20000007E+01     0.72676450E-01     0.52004475E-02     0.10000000E+02    -0.58387499E-01     0.48026255E+00     0.27637425E+00     0.10128031E-02     117     0.23781518E-02
