  
       RFOIL         Version 3.00
  
 Calculated polar for: du_96-w-180                     
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     10.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.20000002E+02    -0.12981604E+01     0.65924712E-01     0.10000000E+02    -0.37165795E-01     0.65675497E+00     0.27404716E-02     0.62450103E-01     101     0.75165741E-01
-0.19500000E+02    -0.13380731E+01     0.55051558E-01     0.10000000E+02    -0.43483447E-01     0.64946693E+00     0.27400116E-02     0.51365785E-01     101     0.75165741E-01
-0.19000002E+02    -0.13707635E+01     0.46533260E-01     0.10000000E+02    -0.47258332E-01     0.63500249E+00     0.27687724E-02     0.42647619E-01     101     0.75165741E-01
-0.18500002E+02    -0.13946058E+01     0.39864283E-01     0.10000000E+02    -0.49029235E-01     0.62770301E+00     0.27903011E-02     0.35815164E-01     101     0.75165741E-01
-0.18000000E+02    -0.14093192E+01     0.34409143E-01     0.10000000E+02    -0.49696296E-01     0.62029451E+00     0.28180173E-02     0.30215947E-01     101     0.75165741E-01
-0.17500000E+02    -0.14127811E+01     0.29988850E-01     0.10000000E+02    -0.49799088E-01     0.60781962E+00     0.28792196E-02     0.25660209E-01     101     0.75165741E-01
-0.17000002E+02    -0.14074675E+01     0.26374970E-01     0.10000000E+02    -0.49464423E-01     0.60076237E+00     0.29004002E-02     0.21936916E-01     101     0.75165741E-01
-0.16500000E+02    -0.13960313E+01     0.23375679E-01     0.10000000E+02    -0.48779055E-01     0.58978361E+00     0.29671835E-02     0.18828750E-01     102     0.67476571E-01
-0.16000002E+02    -0.13794018E+01     0.20895775E-01     0.10000000E+02    -0.47768038E-01     0.58353007E+00     0.30302906E-02     0.16263595E-01     102     0.67476571E-01
-0.15500001E+02    -0.13577139E+01     0.18877378E-01     0.10000000E+02    -0.46558630E-01     0.57375890E+00     0.30920820E-02     0.14158089E-01     102     0.67476571E-01
-0.15000001E+02    -0.13318357E+01     0.17214064E-01     0.10000000E+02    -0.45203608E-01     0.56784201E+00     0.31483611E-02     0.12420444E-01     103     0.59972800E-01
-0.14500000E+02    -0.13024786E+01     0.15827114E-01     0.10000000E+02    -0.43766756E-01     0.55900663E+00     0.32123653E-02     0.10952862E-01     103     0.59972800E-01
-0.14000001E+02    -0.12768422E+01     0.14676827E-01     0.10000000E+02    -0.41045867E-01     0.55393487E+00     0.32886404E-02     0.97340979E-02     103     0.59972800E-01
-0.13500001E+02    -0.12344347E+01     0.13879322E-01     0.10000000E+02    -0.40115766E-01     0.54568183E+00     0.34086125E-02     0.88859154E-02     104     0.52693468E-01
-0.13000001E+02    -0.11880625E+01     0.13170374E-01     0.10000000E+02    -0.39613392E-01     0.54043019E+00     0.35461078E-02     0.81398096E-02     104     0.52693468E-01
-0.12500001E+02    -0.11391977E+01     0.13254659E-01     0.10000000E+02    -0.39781928E-01     0.50000001E-01     0.36677078E-02     0.74545932E-02     105     0.45696761E-01
-0.12000000E+02    -0.10889361E+01     0.12702485E-01     0.10000000E+02    -0.39684560E-01     0.50000001E-01     0.38041584E-02     0.68610609E-02     105     0.45696761E-01
