  
       RFOIL         Version 3.00
  
 Calculated polar for: du_96-w-180                     
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     10.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.20000002E+02    -0.12981604E+01     0.66906273E-01     0.10000000E+02    -0.37165795E-01     0.65675497E+00     0.27404716E-02     0.63431665E-01     101     0.75165741E-01
-0.19500000E+02    -0.13380731E+01     0.58003828E-01     0.10000000E+02    -0.43483447E-01     0.64946693E+00     0.27400116E-02     0.54318056E-01     101     0.75165741E-01
-0.19000002E+02    -0.13707635E+01     0.50682310E-01     0.10000000E+02    -0.47258332E-01     0.63500249E+00     0.27687724E-02     0.46796668E-01     101     0.75165741E-01
-0.18500002E+02    -0.13946058E+01     0.44820789E-01     0.10000000E+02    -0.49029235E-01     0.62770301E+00     0.27903011E-02     0.40771671E-01     101     0.75165741E-01
-0.18000000E+02    -0.14093192E+01     0.39819997E-01     0.10000000E+02    -0.49696296E-01     0.62029451E+00     0.28180173E-02     0.35626799E-01     101     0.75165741E-01
-0.17500000E+02    -0.14127811E+01     0.35428222E-01     0.10000000E+02    -0.49799088E-01     0.60781962E+00     0.28792196E-02     0.31099582E-01     101     0.75165741E-01
-0.17000002E+02    -0.14074675E+01     0.31486895E-01     0.10000000E+02    -0.49464423E-01     0.60076237E+00     0.29004002E-02     0.27048841E-01     101     0.75165741E-01
-0.16500000E+02    -0.13960313E+01     0.27910601E-01     0.10000000E+02    -0.48779055E-01     0.58978361E+00     0.29671835E-02     0.23363672E-01     102     0.67476571E-01
-0.16000002E+02    -0.13794018E+01     0.24747107E-01     0.10000000E+02    -0.47768038E-01     0.58353007E+00     0.30302906E-02     0.20114927E-01     102     0.67476571E-01
-0.15500001E+02    -0.13577139E+01     0.22018176E-01     0.10000000E+02    -0.46558630E-01     0.57375890E+00     0.30920820E-02     0.17298887E-01     102     0.67476571E-01
-0.15000001E+02    -0.13318357E+01     0.19716093E-01     0.10000000E+02    -0.45203608E-01     0.56784201E+00     0.31483611E-02     0.14922474E-01     103     0.59972800E-01
-0.14500000E+02    -0.13024786E+01     0.17795078E-01     0.10000000E+02    -0.43766756E-01     0.55900663E+00     0.32123653E-02     0.12920827E-01     103     0.59972800E-01
-0.14000001E+02    -0.12768422E+01     0.16161861E-01     0.10000000E+02    -0.41045867E-01     0.55393487E+00     0.32886404E-02     0.11219133E-01     103     0.59972800E-01
-0.13500001E+02    -0.12344347E+01     0.15192755E-01     0.10000000E+02    -0.40115766E-01     0.54568183E+00     0.34086125E-02     0.10199349E-01     104     0.52693468E-01
-0.13000001E+02    -0.11880625E+01     0.14364489E-01     0.10000000E+02    -0.39613392E-01     0.54043019E+00     0.35461078E-02     0.93339253E-02     104     0.52693468E-01
-0.12500001E+02    -0.11391977E+01     0.14222309E-01     0.10000000E+02    -0.39781928E-01     0.50000001E-01     0.36677078E-02     0.84222425E-02     105     0.45696761E-01
-0.12000000E+02    -0.10889361E+01     0.13597638E-01     0.10000000E+02    -0.39684560E-01     0.50000001E-01     0.38041584E-02     0.77562146E-02     105     0.45696761E-01
-0.11500001E+02    -0.10371729E+01     0.13029568E-01     0.10000000E+02    -0.39768599E-01     0.50000001E-01     0.40032826E-02     0.71485629E-02     106     0.39064076E-01
-0.11000001E+02    -0.98405731E+00     0.12522411E-01     0.10000000E+02    -0.40015329E-01     0.50000001E-01     0.42019980E-02     0.66043884E-02     106     0.39064076E-01
-0.10500001E+02    -0.92987347E+00     0.12065277E-01     0.10000000E+02    -0.40392987E-01     0.50000001E-01     0.44443086E-02     0.61106239E-02     107     0.32897286E-01
-0.10000001E+02    -0.87486702E+00     0.11644138E-01     0.10000000E+02    -0.40876124E-01     0.50000001E-01     0.48518772E-02     0.56546926E-02     107     0.32897286E-01
-0.95000010E+01    -0.81913429E+00     0.11256740E-01     0.10000000E+02    -0.41451529E-01     0.50000001E-01     0.51698959E-02     0.52352655E-02     108     0.27300922E-01
-0.90000000E+01    -0.76276553E+00     0.10902745E-01     0.10000000E+02    -0.42111069E-01     0.50000001E-01     0.55133752E-02     0.48533753E-02     108     0.27300922E-01
-0.85000019E+01    -0.70579404E+00     0.10586310E-01     0.10000000E+02    -0.42850628E-01     0.50000001E-01     0.59431242E-02     0.45086495E-02     109     0.22353005E-01
-0.80000010E+01    -0.64829731E+00     0.10306711E-01     0.10000000E+02    -0.43659464E-01     0.50000001E-01     0.63882926E-02     0.42006127E-02     109     0.22353005E-01
-0.75000005E+01    -0.59043294E+00     0.10044930E-01     0.10000000E+02    -0.44520888E-01     0.50000001E-01     0.70531182E-02     0.39156871E-02     110     0.18079460E-01
-0.70000014E+01    -0.53219563E+00     0.98103276E-02     0.10000000E+02    -0.45437023E-01     0.50000001E-01     0.77786581E-02     0.36610295E-02     110     0.18079460E-01
