  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-211                      
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.23000002E+02    -0.11889393E+01     0.14104269E+00     0.12000000E+02     0.40716395E-01     0.69580835E+00     0.40443926E-02     0.13820127E+00      96     0.73416293E-01
-0.22000000E+02    -0.11866862E+01     0.12532304E+00     0.12000000E+02     0.26872953E-01     0.66359502E+00     0.43165544E-02     0.12224282E+00      96     0.73416293E-01
-0.21000000E+02    -0.11775329E+01     0.11142351E+00     0.12000000E+02     0.15741238E-01     0.63598150E+00     0.42754691E-02     0.10812488E+00      97     0.66168740E-01
-0.20000002E+02    -0.11680373E+01     0.98217815E-01     0.12000000E+02     0.63226754E-02     0.61206055E+00     0.45955735E-02     0.94730891E-01      97     0.66168740E-01
-0.19000002E+02    -0.11307216E+01     0.89146353E-01     0.12000000E+02    -0.19821152E-02     0.58298415E+00     0.48314962E-02     0.85516267E-01      98     0.59170846E-01
-0.18500002E+02    -0.11277983E+01     0.83814479E-01     0.12000000E+02    -0.50054234E-02     0.57680225E+00     0.49242470E-02     0.80101915E-01      98     0.59170846E-01
-0.18000000E+02    -0.11212156E+01     0.79365022E-01     0.12000000E+02    -0.76518999E-02     0.56518376E+00     0.50143418E-02     0.75561963E-01      98     0.59170846E-01
-0.17500000E+02    -0.11119393E+01     0.75213753E-01     0.12000000E+02    -0.99512776E-02     0.55384636E+00     0.51426431E-02     0.71328968E-01      99     0.52463125E-01
-0.17000002E+02    -0.11022165E+01     0.71098909E-01     0.12000000E+02    -0.12037260E-01     0.54799104E+00     0.52993218E-02     0.67150310E-01      99     0.52463125E-01
-0.16500000E+02    -0.10923281E+01     0.66785172E-01     0.12000000E+02    -0.14042622E-01     0.53736824E+00     0.53956755E-02     0.62760457E-01      99     0.52463125E-01
-0.16000002E+02    -0.10824018E+01     0.62370986E-01     0.12000000E+02    -0.15833916E-01     0.53238100E+00     0.54850751E-02     0.58282476E-01      99     0.52463125E-01
-0.15500001E+02    -0.10621538E+01     0.57605982E-01     0.12000000E+02    -0.18806309E-01     0.50000001E-01     0.56872782E-02     0.52742533E-01     100     0.46092801E-01
-0.15000001E+02    -0.10497071E+01     0.53388078E-01     0.12000000E+02    -0.20054683E-01     0.50000001E-01     0.59024850E-02     0.48470050E-01     100     0.46092801E-01
-0.14500000E+02    -0.10357106E+01     0.49219381E-01     0.12000000E+02    -0.21170182E-01     0.50000001E-01     0.59063057E-02     0.44244912E-01     100     0.46092801E-01
-0.14000001E+02    -0.10243522E+01     0.44771545E-01     0.12000000E+02    -0.22145793E-01     0.50000001E-01     0.62104901E-02     0.39741315E-01     101     0.40111162E-01
-0.13500001E+02    -0.10123107E+01     0.40332913E-01     0.12000000E+02    -0.23018226E-01     0.50000001E-01     0.63188756E-02     0.35245549E-01     101     0.40111162E-01
-0.13000001E+02    -0.99984497E+00     0.36083046E-01     0.12000000E+02    -0.23588283E-01     0.50000001E-01     0.66807843E-02     0.30943174E-01     101     0.40111162E-01
-0.12500001E+02    -0.99339217E+00     0.31348899E-01     0.12000000E+02    -0.23994239E-01     0.50000001E-01     0.71283691E-02     0.26151937E-01     102     0.34568802E-01
-0.12000000E+02    -0.98542935E+00     0.28157147E-01     0.12000000E+02    -0.24135312E-01     0.50000001E-01     0.71994918E-02     0.22904642E-01     102     0.34568802E-01
-0.11500001E+02    -0.98117077E+00     0.24854954E-01     0.12000000E+02    -0.24211448E-01     0.50000001E-01     0.72833649E-02     0.19541916E-01     102     0.34568802E-01
-0.11000001E+02    -0.97403973E+00     0.21406740E-01     0.12000000E+02    -0.25020789E-01     0.50000001E-01     0.78976257E-02     0.16035127E-01     102     0.34568802E-01
