  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-332                      
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     16.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.19000002E+02    -0.84964126E+00     0.13842899E+00     0.16000000E+02     0.23554418E-01     0.50000001E-01     0.50000001E-01     0.13407969E+00      84     0.39097577E-01
-0.17000002E+02    -0.77072322E+00     0.11963084E+00     0.16000000E+02     0.87335650E-02     0.50000001E-01     0.50000001E-01     0.11505833E+00      86     0.32342035E-01
-0.16000002E+02    -0.72746873E+00     0.11090871E+00     0.16000000E+02     0.23417827E-02     0.50000001E-01     0.50000001E-01     0.10623338E+00      88     0.26326176E-01
-0.15500001E+02    -0.66644490E+00     0.11210113E+00     0.16000000E+02    -0.45611695E-02     0.50000001E-01     0.50000001E-01     0.10745911E+00      88     0.26326176E-01
-0.14500000E+02    -0.67132396E+00     0.96380323E-01     0.16000000E+02    -0.68742912E-02     0.50000001E-01     0.50000001E-01     0.91533981E-01      89     0.23595804E-01
-0.14000001E+02    -0.61913604E+00     0.96236907E-01     0.16000000E+02    -0.11355808E-01     0.50000001E-01     0.50000001E-01     0.91410205E-01      90     0.21047749E-01
-0.13500001E+02    -0.60457921E+00     0.90862677E-01     0.16000000E+02    -0.13631281E-01     0.50000001E-01     0.50000001E-01     0.85971028E-01      91     0.18678481E-01
-0.13000001E+02    -0.58926719E+00     0.85635073E-01     0.16000000E+02    -0.15827671E-01     0.50000001E-01     0.50000001E-01     0.80680504E-01      91     0.18678481E-01
-0.12500001E+02    -0.57323223E+00     0.80594532E-01     0.16000000E+02    -0.17938051E-01     0.50000001E-01     0.50000001E-01     0.75578190E-01      92     0.16483275E-01
-0.12000000E+02    -0.55644679E+00     0.75780958E-01     0.16000000E+02    -0.19955905E-01     0.50000001E-01     0.50000001E-01     0.70704974E-01      92     0.16483275E-01
-0.11500001E+02    -0.53880960E+00     0.71168102E-01     0.16000000E+02    -0.21885365E-01     0.50000001E-01     0.50000001E-01     0.66034243E-01      93     0.14456484E-01
-0.11000001E+02    -0.52036810E+00     0.66736966E-01     0.16000000E+02    -0.23716921E-01     0.50000001E-01     0.50000001E-01     0.61547298E-01      93     0.14456484E-01
-0.10500001E+02    -0.50106913E+00     0.62541865E-01     0.16000000E+02    -0.25454110E-01     0.50000001E-01     0.50000001E-01     0.57298444E-01      94     0.12591959E-01
-0.10000001E+02    -0.48097745E+00     0.58519218E-01     0.16000000E+02    -0.27099751E-01     0.50000001E-01     0.50000001E-01     0.53224500E-01      95     0.10883095E-01
-0.95000010E+01    -0.45527822E+00     0.55283464E-01     0.16000000E+02    -0.28499568E-01     0.50000001E-01     0.50000001E-01     0.49948979E-01      95     0.10883095E-01
-0.90000000E+01    -0.43253216E+00     0.51744811E-01     0.16000000E+02    -0.29923318E-01     0.50000001E-01     0.50000001E-01     0.46365295E-01      96     0.93229832E-02
-0.85000019E+01    -0.40986300E+00     0.48278406E-01     0.16000000E+02    -0.31276014E-01     0.50000001E-01     0.50000001E-01     0.42854134E-01      97     0.79048621E-02
-0.80000010E+01    -0.38674963E+00     0.44963215E-01     0.16000000E+02    -0.32522507E-01     0.50000001E-01     0.50000001E-01     0.39495576E-01      97     0.79048621E-02
