  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-332                      
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     16.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.19000002E+02    -0.11073538E+01     0.10761499E+00     0.16000000E+02     0.11534010E-01     0.70173424E+00     0.13444586E+00     0.10496674E+00      90     0.46875164E-01
-0.18500002E+02    -0.10401025E+01     0.10927504E+00     0.16000000E+02     0.54730549E-02     0.66144395E+00     0.13603696E+00     0.10656905E+00      91     0.43373503E-01
-0.16000002E+02    -0.10390737E+01     0.76437712E-01     0.16000000E+02    -0.53227842E-02     0.57414854E+00     0.15941474E+00     0.73331632E-01      94     0.33803225E-01
-0.15500001E+02    -0.10166868E+01     0.79482183E-01     0.16000000E+02    -0.83339931E-02     0.55406600E+00     0.16331638E+00     0.76313689E-01      94     0.33803225E-01
-0.15000001E+02    -0.10076323E+01     0.76007865E-01     0.16000000E+02    -0.10172474E-01     0.53710991E+00     0.16710220E+00     0.72764628E-01      95     0.30921925E-01
-0.14500000E+02    -0.10035871E+01     0.72944604E-01     0.16000000E+02    -0.11830304E-01     0.52539033E+00     0.17378524E+00     0.69660537E-01      95     0.30921925E-01
-0.14000001E+02    -0.98776716E+00     0.70894703E-01     0.16000000E+02    -0.13431821E-01     0.50914055E+00     0.17641006E+00     0.67529850E-01      96     0.28190108E-01
-0.13500001E+02    -0.98460919E+00     0.54940417E-01     0.16000000E+02    -0.14430677E-01     0.49858233E+00     0.18169630E+00     0.51520802E-01      96     0.28190108E-01
-0.13000001E+02    -0.96958017E+00     0.52881137E-01     0.16000000E+02    -0.15740031E-01     0.48720303E+00     0.18525043E+00     0.49402576E-01      97     0.25606163E-01
-0.12500001E+02    -0.95816624E+00     0.50211005E-01     0.16000000E+02    -0.16857915E-01     0.47311187E+00     0.18994415E+00     0.46673845E-01      98     0.23169694E-01
-0.12000000E+02    -0.94412220E+00     0.47479264E-01     0.16000000E+02    -0.17866734E-01     0.45940024E+00     0.19456938E+00     0.43881565E-01      98     0.23169694E-01
-0.11500001E+02    -0.93251216E+00     0.44580836E-01     0.16000000E+02    -0.18661626E-01     0.44635281E+00     0.19930980E+00     0.40929124E-01      99     0.20880911E-01
-0.11000001E+02    -0.91628462E+00     0.41904721E-01     0.16000000E+02    -0.19374426E-01     0.43634784E+00     0.20313093E+00     0.38200457E-01      99     0.20880911E-01
-0.10500001E+02    -0.90641856E+00     0.38996644E-01     0.16000000E+02    -0.19726090E-01     0.42703795E+00     0.20852689E+00     0.35250615E-01     100     0.18739659E-01
-0.10000001E+02    -0.89522576E+00     0.36123224E-01     0.16000000E+02    -0.19862231E-01     0.41845319E+00     0.21368298E+00     0.32328516E-01     101     0.16744640E-01
-0.95000010E+01    -0.90198648E+00     0.32236591E-01     0.16000000E+02    -0.19026596E-01     0.40986776E+00     0.21768440E+00     0.28377019E-01     101     0.16744640E-01
-0.90000000E+01    -0.94679606E+00     0.25720073E-01     0.16000000E+02    -0.13263939E-01     0.40466005E+00     0.22112365E+00     0.21779815E-01     101     0.16744640E-01
-0.85000019E+01    -0.90655971E+00     0.20994753E-01     0.16000000E+02    -0.19240715E-01     0.39498571E+00     0.22716516E+00     0.16996665E-01     102     0.14891068E-01
-0.80000010E+01    -0.83524430E+00     0.18777980E-01     0.16000000E+02    -0.26168110E-01     0.38430238E+00     0.23353702E+00     0.14751121E-01     103     0.13171085E-01
-0.75000005E+01    -0.75513536E+00     0.16845305E-01     0.16000000E+02    -0.34352500E-01     0.37522319E+00     0.23863485E+00     0.12791665E-01     104     0.11575675E-01
-0.70000014E+01    -0.66936868E+00     0.15254758E-01     0.16000000E+02    -0.43170486E-01     0.36464879E+00     0.24555221E+00     0.11171863E-01     105     0.10095794E-01
-0.65000010E+01    -0.58373076E+00     0.14170353E-01     0.16000000E+02    -0.51170830E-01     0.35584709E+00     0.25051364E+00     0.10053090E-01     107     0.74593243E-02
-0.60000000E+01    -0.49303532E+00     0.13174920E-01     0.16000000E+02    -0.60256455E-01     0.34619027E+00     0.25812510E+00     0.90329442E-02     108     0.63011060E-02
-0.55000014E+01    -0.40738091E+00     0.12583639E-01     0.16000000E+02    -0.67568138E-01     0.33698195E+00     0.26377523E+00     0.84063653E-02     109     0.52516209E-02
-0.50000010E+01    -0.31930456E+00     0.12067999E-01     0.16000000E+02    -0.75372063E-01     0.32917625E+00     0.27079022E+00     0.78685135E-02     111     0.34844337E-02
-0.45000000E+01    -0.22875544E+00     0.11653794E-01     0.16000000E+02    -0.83703063E-01     0.32027596E+00     0.28150970E+00     0.74299728E-02     112     0.27652394E-02
-0.40000014E+01    -0.14857143E+00     0.11503927E-01     0.16000000E+02    -0.89151472E-01     0.31219405E+00     0.28766415E+00     0.72515588E-02     113     0.21490103E-02
-0.35000007E+01    -0.73187567E-01     0.11458741E-01     0.16000000E+02    -0.93278021E-01     0.30615860E+00     0.29444972E+00     0.71955621E-02     115     0.12034173E-02
-0.30000000E+01     0.14251943E-02     0.11451400E-01     0.16000000E+02    -0.97184882E-01     0.29883540E+00     0.30029956E+00     0.71737054E-02     116     0.86240581E-03
-0.25000012E+01     0.74981898E-01     0.11472860E-01     0.16000000E+02    -0.10079397E+00     0.29309511E+00     0.30754125E+00     0.71838317E-02     118     0.36568480E-03
-0.20000007E+01     0.14790714E+00     0.11516601E-01     0.16000000E+02    -0.10421541E+00     0.28667426E+00     0.31423870E+00     0.72191320E-02     119     0.17545954E-03
-0.15000000E+01     0.22022119E+00     0.11575462E-01     0.16000000E+02    -0.10747064E+00     0.28008500E+00     0.32051364E+00     0.72630155E-02     120     0.00000000E+00
-0.10000012E+01     0.29186919E+00     0.11648420E-01     0.16000000E+02    -0.11053045E+00     0.27526507E+00     0.32766846E+00     0.73276595E-02     121     0.13090222E-03
-0.50000060E+00     0.36324731E+00     0.11740522E-01     0.16000000E+02    -0.11351385E+00     0.26916111E+00     0.33351281E+00     0.74082860E-02     122     0.28465805E-03
 0.00000000E+00     0.43407989E+00     0.11842743E-01     0.16000000E+02    -0.11635768E+00     0.26341507E+00     0.34091175E+00     0.74958024E-02     123     0.48534112E-03
 0.49999887E+00     0.50450540E+00     0.11957699E-01     0.16000000E+02    -0.11906626E+00     0.25887197E+00     0.34658358E+00     0.76043014E-02     125     0.11159009E-02
 0.99999946E+00     0.57481360E+00     0.12083079E-01     0.16000000E+02    -0.12176234E+00     0.25322726E+00     0.35423580E+00     0.77178618E-02     126     0.15942756E-02
 0.14999983E+01     0.64458841E+00     0.12213822E-01     0.16000000E+02    -0.12429128E+00     0.24919929E+00     0.36149770E+00     0.78449212E-02     127     0.22048180E-02
 0.19999989E+01     0.71389979E+00     0.12346562E-01     0.16000000E+02    -0.12674099E+00     0.24176505E+00     0.36749783E+00     0.79536857E-02     128     0.29561438E-02
 0.24999995E+01     0.78294641E+00     0.12491019E-01     0.16000000E+02    -0.12909763E+00     0.23766740E+00     0.37491286E+00     0.80881361E-02     129     0.38593826E-02
 0.29999983E+01     0.85162735E+00     0.12641245E-01     0.16000000E+02    -0.13135558E+00     0.23275881E+00     0.38059399E+00     0.82272328E-02     130     0.49238135E-02
