  
       RFOIL         Version 3.00
  
 Calculated polar for: riso-b-20                       
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.21500002E+02    -0.11699326E+01     0.12871504E+00     0.12000000E+02     0.17371856E-01     0.10000000E+01     0.21456316E-01     0.12668286E+00      90     0.65163314E-01
-0.20500000E+02    -0.11445985E+01     0.11827306E+00     0.12000000E+02     0.91692479E-02     0.10000000E+01     0.22684105E-01     0.11617509E+00      91     0.58348961E-01
-0.19500000E+02    -0.11092331E+01     0.10946820E+00     0.12000000E+02     0.28537752E-02     0.10000000E+01     0.23541842E-01     0.10731012E+00      91     0.58348961E-01
-0.18500002E+02    -0.10775254E+01     0.10033018E+00     0.12000000E+02    -0.31372574E-02     0.10000000E+01     0.25057733E-01     0.98122619E-01      92     0.51980190E-01
-0.17500000E+02    -0.10477095E+01     0.90755075E-01     0.12000000E+02    -0.89222491E-02     0.10000000E+01     0.26415450E-01     0.88488564E-01      93     0.46092104E-01
-0.17000002E+02    -0.10129250E+01     0.88305712E-01     0.12000000E+02    -0.11937115E-01     0.10000000E+01     0.27031993E-01     0.86037174E-01      93     0.46092104E-01
-0.16500000E+02    -0.10006112E+01     0.83257169E-01     0.12000000E+02    -0.14343908E-01     0.10000000E+01     0.27858116E-01     0.80956094E-01      94     0.40701225E-01
-0.16000002E+02    -0.98813272E+00     0.78294493E-01     0.12000000E+02    -0.16715733E-01     0.10000000E+01     0.28709849E-01     0.75964160E-01      94     0.40701225E-01
-0.15500001E+02    -0.97423089E+00     0.73511794E-01     0.12000000E+02    -0.19016732E-01     0.10000000E+01     0.29414145E-01     0.71151234E-01      94     0.40701225E-01
-0.15000001E+02    -0.95434827E+00     0.69689482E-01     0.12000000E+02    -0.20759251E-01     0.10000000E+01     0.30163383E-01     0.67309886E-01      95     0.35805508E-01
-0.14500000E+02    -0.93820685E+00     0.65244436E-01     0.12000000E+02    -0.22889949E-01     0.10000000E+01     0.30924167E-01     0.62829331E-01      95     0.35805508E-01
-0.14000001E+02    -0.92619330E+00     0.60726956E-01     0.12000000E+02    -0.24698121E-01     0.95742458E+00     0.32207370E-01     0.58206026E-01      96     0.31387001E-01
-0.13500001E+02    -0.91298276E+00     0.56409840E-01     0.12000000E+02    -0.26402874E-01     0.89966971E+00     0.33024922E-01     0.53677119E-01      96     0.31387001E-01
-0.13000001E+02    -0.89726603E+00     0.52238375E-01     0.12000000E+02    -0.28648827E-01     0.79493332E+00     0.34076542E-01     0.49169756E-01      96     0.31387001E-01
-0.12500001E+02    -0.88181323E+00     0.48079222E-01     0.12000000E+02    -0.30833302E-01     0.73498815E+00     0.35022248E-01     0.44812605E-01      97     0.27416473E-01
-0.12000000E+02    -0.86976916E+00     0.43751664E-01     0.12000000E+02    -0.33058707E-01     0.68891841E+00     0.36459111E-01     0.40335827E-01      97     0.27416473E-01
-0.11500001E+02    -0.85867363E+00     0.39500058E-01     0.12000000E+02    -0.35294045E-01     0.64005196E+00     0.37286982E-01     0.35923071E-01      97     0.27416473E-01
-0.11000001E+02    -0.85728073E+00     0.34465060E-01     0.12000000E+02    -0.37992571E-01     0.61112511E+00     0.38730022E-01     0.30759929E-01      98     0.23858380E-01
-0.10500001E+02    -0.86488688E+00     0.29174751E-01     0.12000000E+02    -0.40970199E-01     0.57930970E+00     0.39476369E-01     0.25316747E-01      98     0.23858380E-01
-0.10000001E+02    -0.87405032E+00     0.22288613E-01     0.12000000E+02    -0.49864568E-01     0.55736494E+00     0.40089030E-01     0.18249471E-01      98     0.23858380E-01
-0.95000010E+01    -0.80560607E+00     0.16806921E-01     0.12000000E+02    -0.67476109E-01     0.52660543E+00     0.42788245E-01     0.12594625E-01      99     0.20674877E-01
-0.90000000E+01    -0.71914196E+00     0.13326953E-01     0.12000000E+02    -0.82305193E-01     0.50221199E+00     0.46191297E-01     0.89770537E-02     100     0.17828984E-01
-0.85000019E+01    -0.62923098E+00     0.10620010E-01     0.12000000E+02    -0.95404372E-01     0.47895953E+00     0.49319595E-01     0.61275032E-02     101     0.15286216E-01
-0.80000010E+01    -0.54788780E+00     0.89502381E-02     0.12000000E+02    -0.10393692E+00     0.46562088E+00     0.54271244E-01     0.43591559E-02     102     0.13015762E-01
-0.75000005E+01    -0.48015478E+00     0.84506059E-02     0.12000000E+02    -0.10712284E+00     0.44830662E+00     0.59407625E-01     0.38206717E-02     103     0.10990543E-01
-0.70000014E+01    -0.41342920E+00     0.80301883E-02     0.12000000E+02    -0.10985452E+00     0.43354681E+00     0.66338971E-01     0.33793086E-02     104     0.91870697E-02
-0.65000010E+01    -0.34708753E+00     0.76462156E-02     0.12000000E+02    -0.11235767E+00     0.42251667E+00     0.75382285E-01     0.29951362E-02     105     0.75856606E-02
-0.60000000E+01    -0.28055206E+00     0.72441734E-02     0.12000000E+02    -0.11487170E+00     0.41079766E+00     0.91751114E-01     0.26153424E-02     106     0.61694630E-02
