  
       RFOIL         Version 3.00
  
 Calculated polar for: riso-b-20                       
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.22000000E+02    -0.11682771E+01     0.13558060E+00     0.12000000E+02     0.23164937E-01     0.10000000E+01     0.15859297E-01     0.13352937E+00      90     0.65163314E-01
-0.20000002E+02    -0.11115005E+01     0.11557744E+00     0.12000000E+02     0.71883770E-02     0.99773979E+00     0.17576037E-01     0.11339208E+00      91     0.58348961E-01
-0.19000002E+02    -0.11010786E+01     0.10941551E+00     0.12000000E+02     0.40084599E-02     0.99882430E+00     0.18336065E-01     0.10714903E+00      92     0.51980190E-01
-0.18000000E+02    -0.10396366E+01     0.97374819E-01     0.12000000E+02    -0.71614119E-02     0.50000001E-01     0.19567477E-01     0.93131617E-01      93     0.46092104E-01
-0.17500000E+02    -0.10003283E+01     0.95710769E-01     0.12000000E+02    -0.10850157E-01     0.50000001E-01     0.20098558E-01     0.91467127E-01      93     0.46092104E-01
-0.17000002E+02    -0.98789334E+00     0.90641357E-01     0.12000000E+02    -0.13286615E-01     0.50000001E-01     0.20548556E-01     0.86340792E-01      93     0.46092104E-01
-0.16500000E+02    -0.97487479E+00     0.85746475E-01     0.12000000E+02    -0.15658583E-01     0.50000001E-01     0.21029893E-01     0.81389427E-01      94     0.40701225E-01
-0.16000002E+02    -0.95685196E+00     0.81709273E-01     0.12000000E+02    -0.17489901E-01     0.50000001E-01     0.21571811E-01     0.77312440E-01      94     0.40701225E-01
-0.15500001E+02    -0.94267130E+00     0.77050120E-01     0.12000000E+02    -0.19724902E-01     0.50000001E-01     0.22126734E-01     0.72604924E-01      95     0.35805508E-01
-0.15000001E+02    -0.92810303E+00     0.72458051E-01     0.12000000E+02    -0.21923224E-01     0.50000001E-01     0.22670273E-01     0.67963652E-01      95     0.35805508E-01
-0.14500000E+02    -0.91345465E+00     0.67940727E-01     0.12000000E+02    -0.24091598E-01     0.50000001E-01     0.23705177E-01     0.63399717E-01      95     0.35805508E-01
-0.14000001E+02    -0.89359927E+00     0.64237744E-01     0.12000000E+02    -0.25773754E-01     0.50000001E-01     0.24169013E-01     0.59657004E-01      96     0.31387001E-01
-0.13500001E+02    -0.87788945E+00     0.59988730E-01     0.12000000E+02    -0.27761823E-01     0.50000001E-01     0.24874041E-01     0.55365633E-01      96     0.31387001E-01
-0.13000001E+02    -0.86246490E+00     0.55769287E-01     0.12000000E+02    -0.29754438E-01     0.50000001E-01     0.25419118E-01     0.51099766E-01      97     0.27416473E-01
-0.12500001E+02    -0.84753829E+00     0.51559392E-01     0.12000000E+02    -0.31712826E-01     0.50000001E-01     0.26054047E-01     0.46843112E-01      97     0.27416473E-01
-0.12000000E+02    -0.83297008E+00     0.47435701E-01     0.12000000E+02    -0.33634506E-01     0.50000001E-01     0.26668465E-01     0.42671293E-01      97     0.27416473E-01
-0.11500001E+02    -0.82178342E+00     0.43154158E-01     0.12000000E+02    -0.35628363E-01     0.50000001E-01     0.28011519E-01     0.38344607E-01      98     0.23858380E-01
-0.11000001E+02    -0.81627196E+00     0.38408566E-01     0.12000000E+02    -0.37958983E-01     0.50000001E-01     0.28400162E-01     0.33537116E-01      98     0.23858380E-01
-0.10500001E+02    -0.81239921E+00     0.33974349E-01     0.12000000E+02    -0.40090919E-01     0.50000001E-01     0.29742703E-01     0.29053491E-01      98     0.23858380E-01
-0.10000001E+02    -0.83530509E+00     0.27841086E-01     0.12000000E+02    -0.43019596E-01     0.50000001E-01     0.30213142E-01     0.22827767E-01      99     0.20674877E-01
-0.95000010E+01    -0.82006454E+00     0.21672631E-01     0.12000000E+02    -0.54629888E-01     0.50000001E-01     0.30932903E-01     0.16526576E-01      99     0.20674877E-01
-0.90000000E+01    -0.74623483E+00     0.17383000E-01     0.12000000E+02    -0.69777086E-01     0.50000001E-01     0.32072064E-01     0.12117311E-01     100     0.17828984E-01
-0.85000019E+01    -0.65912926E+00     0.14189763E-01     0.12000000E+02    -0.84020510E-01     0.50000001E-01     0.33734903E-01     0.88082328E-02     101     0.15286216E-01
-0.80000010E+01    -0.56583381E+00     0.11886275E-01     0.12000000E+02    -0.99986523E-01     0.50000001E-01     0.37182335E-01     0.63033490E-02     102     0.13015762E-01
-0.75000005E+01    -0.48978171E+00     0.10868585E-01     0.12000000E+02    -0.10617965E+00     0.50000001E-01     0.40406182E-01     0.52048960E-02     103     0.10990543E-01
-0.70000014E+01    -0.42223933E+00     0.10485321E-01     0.12000000E+02    -0.10910973E+00     0.50000001E-01     0.42631824E-01     0.47908039E-02     104     0.91870697E-02
-0.65000010E+01    -0.35561225E+00     0.10174708E-01     0.12000000E+02    -0.11164933E+00     0.50000001E-01     0.46478361E-01     0.44584987E-02     105     0.75856606E-02
-0.60000000E+01    -0.28991669E+00     0.99414913E-02     0.12000000E+02    -0.11381788E+00     0.50000001E-01     0.49211636E-01     0.42021340E-02     106     0.61694630E-02
-0.55000014E+01    -0.22506119E+00     0.97810961E-02     0.12000000E+02    -0.11566500E+00     0.50000001E-01     0.50000001E-01     0.40117987E-02     107     0.49245702E-02
-0.50000010E+01    -0.16054393E+00     0.96532721E-02     0.12000000E+02    -0.11737017E+00     0.50000001E-01     0.50000001E-01     0.38542319E-02     108     0.38392560E-02
