  
       RFOIL         Version 3.00
  
 Calculated polar for: s825                            
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     10.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.20500000E+02    -0.98444307E+00     0.93909070E-01     0.10000000E+02    -0.52379288E-01     0.10000000E+01     0.33632130E-02     0.92032552E-01     101     0.68826683E-01
-0.19000002E+02    -0.83600742E+00     0.75078584E-01     0.10000000E+02    -0.87886617E-01     0.99374914E+00     0.27468186E-02     0.73044360E-01     102     0.61009567E-01
-0.18500002E+02    -0.82670379E+00     0.74716233E-01     0.10000000E+02    -0.90593211E-01     0.99371719E+00     0.36792359E-02     0.72622210E-01     103     0.53445008E-01
-0.18000000E+02    -0.80382651E+00     0.71807720E-01     0.10000000E+02    -0.92212826E-01     0.99368024E+00     0.27495327E-02     0.69661118E-01     103     0.53445008E-01
-0.16500000E+02    -0.87161112E+00     0.61089054E-01     0.10000000E+02    -0.75934768E-01     0.99523598E+00     0.37777778E-02     0.58810972E-01     103     0.53445008E-01
-0.15500001E+02    -0.73637557E+00     0.54256730E-01     0.10000000E+02    -0.99337094E-01     0.99341762E+00     0.37903739E-02     0.51955774E-01     104     0.46202067E-01
-0.13500001E+02    -0.71042621E+00     0.43582637E-01     0.10000000E+02    -0.96794389E-01     0.99242157E+00     0.50368896E-02     0.41050732E-01     105     0.39371826E-01
-0.13000001E+02    -0.69077563E+00     0.40903848E-01     0.10000000E+02    -0.98080121E-01     0.98758513E+00     0.51946463E-02     0.38330756E-01     106     0.33060052E-01
-0.12500001E+02    -0.67570341E+00     0.38255945E-01     0.10000000E+02    -0.98516837E-01     0.98137599E+00     0.52933977E-02     0.35634864E-01     106     0.33060052E-01
-0.12000000E+02    -0.65895241E+00     0.35577625E-01     0.10000000E+02    -0.99412315E-01     0.97406358E+00     0.53633894E-02     0.32907523E-01     106     0.33060052E-01
-0.11500001E+02    -0.64477211E+00     0.32670207E-01     0.10000000E+02    -0.10068894E+00     0.96539462E+00     0.53879758E-02     0.29937861E-01     107     0.27366543E-01
