  
       RFOIL         Version 3.00
  
 Calculated polar for: final_airfoil_24                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.24000000E+02    -0.11633052E+01     0.13847482E+00     0.13000000E+02    -0.62579336E-02     0.99892056E+00     0.30205559E-01     0.13649142E+00      86     0.72584324E-01
-0.22000000E+02    -0.10922424E+01     0.11831821E+00     0.13000000E+02    -0.26679346E-01     0.99409658E+00     0.32602552E-01     0.11618649E+00      87     0.66002280E-01
-0.20000002E+02    -0.10207415E+01     0.10201725E+00     0.13000000E+02    -0.38106810E-01     0.50289118E+00     0.34856569E-01     0.98362908E-01      89     0.53839296E-01
-0.18000000E+02    -0.93195313E+00     0.87998942E-01     0.13000000E+02    -0.47689430E-01     0.50000001E-01     0.36814675E-01     0.83544515E-01      91     0.43191917E-01
-0.17000002E+02    -0.88721853E+00     0.81268162E-01     0.13000000E+02    -0.51595859E-01     0.50000001E-01     0.38484517E-01     0.76739907E-01      92     0.38470823E-01
-0.16000002E+02    -0.83197999E+00     0.75545825E-01     0.13000000E+02    -0.55478659E-01     0.50000001E-01     0.39687149E-01     0.70962802E-01      93     0.34148980E-01
-0.15000001E+02    -0.78508270E+00     0.69071248E-01     0.13000000E+02    -0.58413990E-01     0.50000001E-01     0.40932164E-01     0.64408325E-01      94     0.30212879E-01
-0.14000001E+02    -0.73968405E+00     0.62550396E-01     0.13000000E+02    -0.61242033E-01     0.50000001E-01     0.42857807E-01     0.57821609E-01      95     0.26642174E-01
-0.13000001E+02    -0.69108307E+00     0.56424633E-01     0.13000000E+02    -0.63797720E-01     0.50000001E-01     0.44122815E-01     0.51622879E-01      96     0.23411853E-01
-0.12000000E+02    -0.64047438E+00     0.50798807E-01     0.13000000E+02    -0.65978609E-01     0.50000001E-01     0.46435378E-01     0.45942184E-01      97     0.20494994E-01
-0.11000001E+02    -0.58865702E+00     0.45413673E-01     0.13000000E+02    -0.67935765E-01     0.50000001E-01     0.48573431E-01     0.40501468E-01      98     0.17864272E-01
-0.10000001E+02    -0.53695804E+00     0.40205263E-01     0.13000000E+02    -0.69742560E-01     0.50000001E-01     0.50000001E-01     0.35231370E-01      99     0.15493419E-01
-0.90000000E+01    -0.48791429E+00     0.34926381E-01     0.13000000E+02    -0.71506239E-01     0.50000001E-01     0.50000001E-01     0.29879000E-01     101     0.11436263E-01
-0.80000010E+01    -0.44379160E+00     0.29704349E-01     0.13000000E+02    -0.73083118E-01     0.50000001E-01     0.50000001E-01     0.24582818E-01     102     0.97085200E-02
-0.70000014E+01    -0.41789553E+00     0.24168644E-01     0.13000000E+02    -0.73678873E-01     0.50000001E-01     0.50000001E-01     0.18971439E-01     103     0.81579117E-02
-0.60000000E+01    -0.33325732E+00     0.17340196E-01     0.13000000E+02    -0.91776244E-01     0.50000001E-01     0.50000001E-01     0.11960074E-01     105     0.55322917E-02
-0.50000010E+01    -0.16855757E+00     0.13128588E-01     0.13000000E+02    -0.11320173E+00     0.50000001E-01     0.50000001E-01     0.75661452E-02     107     0.34687214E-02
-0.40000014E+01    -0.22804383E-02     0.10109411E-01     0.13000000E+02    -0.13050719E+00     0.50000001E-01     0.50000001E-01     0.43325122E-02     109     0.19065154E-02
-0.30000000E+01     0.13462906E+00     0.10039103E-01     0.13000000E+02    -0.13736160E+00     0.50000001E-01     0.50000001E-01     0.41251513E-02     112     0.43357554E-03
-0.20000007E+01     0.26401219E+00     0.98457923E-02     0.13000000E+02    -0.14054301E+00     0.50000001E-01     0.50000001E-01     0.38835080E-02     114     0.31394324E-04
-0.10000012E+01     0.39164656E+00     0.97665032E-02     0.13000000E+02    -0.14311536E+00     0.50000001E-01     0.50000001E-01     0.37655164E-02     116     0.66067907E-04
 0.00000000E+00     0.51790494E+00     0.97712101E-02     0.13000000E+02    -0.14524543E+00     0.50000001E-01     0.50000001E-01     0.37390403E-02     118     0.44471456E-03
 0.99999946E+00     0.64288658E+00     0.98464210E-02     0.13000000E+02    -0.14700136E+00     0.50000001E-01     0.50000001E-01     0.37898500E-02     121     0.17141593E-02
 0.19999989E+01     0.76659268E+00     0.99851266E-02     0.13000000E+02    -0.14841507E+00     0.50000001E-01     0.50000001E-01     0.39101783E-02     122     0.23407319E-02
 0.29999983E+01     0.88895714E+00     0.10183386E-01     0.13000000E+02    -0.14949639E+00     0.50000001E-01     0.50000001E-01     0.40963087E-02     124     0.39113364E-02
 0.39999995E+01     0.10098687E+01     0.10439084E-01     0.13000000E+02    -0.15024407E+00     0.50000001E-01     0.50000001E-01     0.43457542E-02     126     0.59120613E-02
 0.49999990E+01     0.11291764E+01     0.10751958E-01     0.13000000E+02    -0.15064579E+00     0.50000001E-01     0.50000001E-01     0.46583600E-02     128     0.83508706E-02
 0.60000000E+01     0.12466786E+01     0.11122393E-01     0.13000000E+02    -0.15068053E+00     0.50000001E-01     0.50000001E-01     0.50345408E-02     130     0.11239862E-01
 0.69999981E+01     0.13621196E+01     0.11552295E-01     0.13000000E+02    -0.15031391E+00     0.50000001E-01     0.50000001E-01     0.54763285E-02     132     0.14601113E-01
 0.79999990E+01     0.14726408E+01     0.12225149E-01     0.13000000E+02    -0.14906836E+00     0.41764084E-01     0.50000001E-01     0.61195721E-02     134     0.18470878E-01
 0.90000000E+01     0.15783873E+01     0.13060298E-01     0.13000000E+02    -0.14698577E+00     0.33282470E-01     0.50000001E-01     0.69216546E-02     136     0.22905961E-01
 0.99999981E+01     0.16797775E+01     0.13961910E-01     0.13000000E+02    -0.14415391E+00     0.28303180E-01     0.50000001E-01     0.78135440E-02     137     0.25360506E-01
 0.10999999E+02     0.17740141E+01     0.14999246E-01     0.13000000E+02    -0.14010328E+00     0.24575725E-01     0.50000001E-01     0.88546034E-02     139     0.30813266E-01
 0.12000000E+02     0.18540894E+01     0.16156316E-01     0.13000000E+02    -0.13354628E+00     0.22392571E-01     0.50000001E-01     0.10040443E-01     141     0.37119552E-01
 0.12999998E+02     0.19048740E+01     0.17875973E-01     0.13000000E+02    -0.12209461E+00     0.20043194E-01     0.50000001E-01     0.11814935E-01     142     0.40656008E-01
 0.13999999E+02     0.19519644E+01     0.20317586E-01     0.13000000E+02    -0.11165241E+00     0.18774977E-01     0.50000001E-01     0.14338529E-01     143     0.44491686E-01
 0.15000001E+02     0.19837081E+01     0.24240086E-01     0.13000000E+02    -0.10231274E+00     0.17614456E-01     0.41670963E+00     0.18740019E-01     144     0.48667081E-01
 0.15999998E+02     0.18862454E+01     0.41628771E-01     0.13000000E+02    -0.95493391E-01     0.16864127E-01     0.41863009E+00     0.36589138E-01     144     0.48667081E-01
 0.17000000E+02     0.14899874E+01     0.98864935E-01     0.13000000E+02    -0.11465256E+00     0.18731916E-01     0.50000001E-01     0.94502643E-01     142     0.40656008E-01
 0.18000000E+02     0.14511892E+01     0.11803613E+00     0.13000000E+02    -0.12607546E+00     0.17486881E-01     0.50000001E-01     0.11390971E+00     142     0.40656008E-01
 0.18999998E+02     0.14519724E+01     0.13172749E+00     0.13000000E+02    -0.13528262E+00     0.16713608E-01     0.50000001E-01     0.12775728E+00     143     0.44491686E-01
