  
       RFOIL         Version 3.00
  
 Calculated polar for: final_airfoil_30                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     18.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.22000000E+02    -0.91707885E+00     0.13355537E+00     0.18000000E+02    -0.16780062E-01     0.65330452E+00     0.38171787E-01     0.13043503E+00      90     0.57452310E-01
-0.20000002E+02    -0.82590652E+00     0.12004963E+00     0.18000000E+02    -0.28876100E-01     0.54897773E+00     0.42773720E-01     0.11661131E+00      91     0.51399473E-01
-0.18000000E+02    -0.73398185E+00     0.10658401E+00     0.18000000E+02    -0.39172884E-01     0.51043749E+00     0.49587857E-01     0.10301587E+00      93     0.40729549E-01
-0.17000002E+02    -0.66481996E+00     0.10272075E+00     0.18000000E+02    -0.45795113E-01     0.49257228E+00     0.53893406E-01     0.99141635E-01      94     0.36099143E-01
-0.16000002E+02    -0.62385654E+00     0.95752798E-01     0.18000000E+02    -0.49443856E-01     0.47874025E+00     0.57947818E-01     0.92115171E-01      95     0.31909395E-01
-0.15000001E+02    -0.59443927E+00     0.86086482E-01     0.18000000E+02    -0.51940493E-01     0.46879926E+00     0.63367777E-01     0.82378440E-01      96     0.28129069E-01
-0.14000001E+02    -0.53987956E+00     0.85042663E-01     0.18000000E+02    -0.56162536E-01     0.45710561E+00     0.69640331E-01     0.81318900E-01      97     0.24724068E-01
-0.13000001E+02    -0.50491577E+00     0.79307064E-01     0.18000000E+02    -0.59481725E-01     0.44859895E+00     0.77828079E-01     0.75545758E-01      98     0.21659561E-01
-0.12000000E+02    -0.46643981E+00     0.74408486E-01     0.18000000E+02    -0.62311549E-01     0.43899667E+00     0.90165138E-01     0.70639059E-01     100     0.16422195E-01
-0.11000001E+02    -0.44430619E+00     0.67800753E-01     0.18000000E+02    -0.65086991E-01     0.43150935E+00     0.10868622E+00     0.64036183E-01     101     0.14191027E-01
-0.10000001E+02    -0.45859069E+00     0.56318544E-01     0.18000000E+02    -0.67450523E-01     0.42481005E+00     0.14192674E+00     0.52597761E-01     101     0.14191027E-01
-0.80000010E+01    -0.60040331E+00     0.73687723E-02     0.18000000E+02    -0.95751815E-01     0.41568208E+00     0.30387011E+00     0.35734114E-02     102     0.12184745E-01
-0.70000014E+01    -0.46974435E+00     0.70678778E-02     0.18000000E+02    -0.10032983E+00     0.40619859E+00     0.32055095E+00     0.32791491E-02     104     0.87647028E-02
-0.60000000E+01    -0.33923930E+00     0.69359513E-02     0.18000000E+02    -0.10460589E+00     0.39714268E+00     0.33018249E+00     0.31199802E-02     106     0.60258354E-02
-0.50000010E+01    -0.20876473E+00     0.68678479E-02     0.18000000E+02    -0.10874729E+00     0.38924515E+00     0.33766791E+00     0.30212749E-02     108     0.38694614E-02
-0.40000014E+01    -0.78189820E-01     0.68248115E-02     0.18000000E+02    -0.11282821E+00     0.38246709E+00     0.34557822E+00     0.29663902E-02     111     0.15826097E-02
-0.30000000E+01     0.51915400E-01     0.68562236E-02     0.18000000E+02    -0.11668944E+00     0.37490565E+00     0.34905982E+00     0.29573981E-02     113     0.62980043E-03
-0.20000007E+01     0.18174355E+00     0.69135958E-02     0.18000000E+02    -0.12044457E+00     0.36792022E+00     0.35269332E+00     0.29835561E-02     115     0.10954578E-03
-0.10000012E+01     0.31138608E+00     0.69992486E-02     0.18000000E+02    -0.12407117E+00     0.36212403E+00     0.35580182E+00     0.30430933E-02     118     0.10068723E-03
 0.00000000E+00     0.44050431E+00     0.71110087E-02     0.18000000E+02    -0.12757319E+00     0.35535404E+00     0.35999566E+00     0.31371494E-02     120     0.54549129E-03
 0.99999946E+00     0.56904638E+00     0.72617047E-02     0.18000000E+02    -0.13088162E+00     0.34956890E+00     0.36308187E+00     0.32656761E-02     122     0.13833776E-02
 0.19999989E+01     0.69732559E+00     0.74216165E-02     0.18000000E+02    -0.13411109E+00     0.34410918E+00     0.36782390E+00     0.34257127E-02     124     0.26525173E-02
 0.29999983E+01     0.82448876E+00     0.76352954E-02     0.18000000E+02    -0.13706902E+00     0.33827811E+00     0.37143585E+00     0.36263792E-02     126     0.43878164E-02
 0.39999995E+01     0.95040619E+00     0.79006292E-02     0.18000000E+02    -0.13976069E+00     0.32878417E+00     0.37616408E+00     0.38721729E-02     128     0.66263387E-02
 0.49999990E+01     0.10742875E+01     0.82476959E-02     0.18000000E+02    -0.14203478E+00     0.31385455E+00     0.38012019E+00     0.41769496E-02     130     0.94125941E-02
 0.60000000E+01     0.11956697E+01     0.86929128E-02     0.18000000E+02    -0.14381491E+00     0.29603070E+00     0.38510707E+00     0.45595248E-02     132     0.12803853E-01
 0.69999981E+01     0.13117318E+01     0.93548344E-02     0.18000000E+02    -0.14459871E+00     0.26757738E+00     0.38928074E+00     0.50989399E-02     134     0.16876586E-01
 0.79999990E+01     0.13754132E+01     0.12372850E-01     0.18000000E+02    -0.13597348E+00     0.11596432E+00     0.39404684E+00     0.73035005E-02     135     0.19199364E-01
 0.90000000E+01     0.14552289E+01     0.14220634E-01     0.18000000E+02    -0.13012804E+00     0.71593232E-01     0.39832962E+00     0.89308340E-02     137     0.24498528E-01
 0.99999981E+01     0.15185288E+01     0.16296603E-01     0.18000000E+02    -0.12109140E+00     0.57871494E-01     0.40275148E+00     0.10958651E-01     138     0.27514795E-01
 0.10999999E+02     0.15824467E+01     0.19039905E-01     0.18000000E+02    -0.11320020E+00     0.48593406E-01     0.40778777E+00     0.13689380E-01     139     0.30807298E-01
 0.12000000E+02     0.16292399E+01     0.23385677E-01     0.18000000E+02    -0.10389877E+00     0.42152300E-01     0.41231173E+00     0.18060587E-01     140     0.34403931E-01
