  
       RFOIL         Version 3.00
  
 Calculated polar for: final_airfoil_33                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     16.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.22000000E+02    -0.91125304E+00     0.15628438E+00     0.16000000E+02     0.24448190E-01     0.50000001E-01     0.46539232E-01     0.15217531E+00      86     0.48965544E-01
-0.20000002E+02    -0.81803757E+00     0.14278710E+00     0.16000000E+02     0.10380567E-01     0.50000001E-01     0.50000001E-01     0.13853513E+00      88     0.40219374E-01
-0.18000000E+02    -0.71703565E+00     0.12939601E+00     0.16000000E+02    -0.19611949E-02     0.50000001E-01     0.50000001E-01     0.12497765E+00      90     0.32718509E-01
-0.16000002E+02    -0.61357480E+00     0.11585319E+00     0.16000000E+02    -0.12857585E-01     0.50000001E-01     0.50000001E-01     0.11127654E+00      93     0.23535375E-01
-0.14000001E+02    -0.50832438E+00     0.10229361E+00     0.16000000E+02    -0.22516115E-01     0.50000001E-01     0.50000001E-01     0.97567365E-01      95     0.18588392E-01
-0.12000000E+02    -0.38706845E+00     0.92358820E-01     0.16000000E+02    -0.32234795E-01     0.50000001E-01     0.50000001E-01     0.87532043E-01      98     0.12607673E-01
-0.11000001E+02    -0.33864823E+00     0.86635254E-01     0.16000000E+02    -0.35560355E-01     0.50000001E-01     0.50000001E-01     0.81730895E-01     100     0.94248028E-02
-0.10000001E+02    -0.28938723E+00     0.80988795E-01     0.16000000E+02    -0.38717277E-01     0.50000001E-01     0.50000001E-01     0.76010853E-01     101     0.80421809E-02
-0.90000000E+01    -0.24007486E+00     0.75644560E-01     0.16000000E+02    -0.41706614E-01     0.50000001E-01     0.50000001E-01     0.70595689E-01     103     0.56525534E-02
-0.80000010E+01    -0.19754559E+00     0.70232160E-01     0.16000000E+02    -0.44735219E-01     0.50000001E-01     0.50000001E-01     0.65102734E-01     104     0.46318606E-02
-0.70000014E+01    -0.14926232E+00     0.65841310E-01     0.16000000E+02    -0.47363296E-01     0.50000001E-01     0.50000001E-01     0.60647249E-01     106     0.29116797E-02
-0.60000000E+01    -0.11104608E+00     0.59905689E-01     0.16000000E+02    -0.49897954E-01     0.50000001E-01     0.50000001E-01     0.54635216E-01     107     0.22041621E-02
-0.50000010E+01    -0.80830567E-01     0.51792424E-01     0.16000000E+02    -0.51969532E-01     0.50000001E-01     0.50000001E-01     0.46442091E-01     109     0.10818796E-02
-0.40000014E+01    -0.10553005E+00     0.37096348E-01     0.16000000E+02    -0.52572917E-01     0.50000001E-01     0.50000001E-01     0.31617288E-01     110     0.66509703E-03
-0.30000000E+01    -0.14958408E+00     0.12101591E-01     0.16000000E+02    -0.74565396E-01     0.50000001E-01     0.50000001E-01     0.61219153E-02     110     0.66509703E-03
-0.20000007E+01    -0.16272508E-01     0.11504198E-01     0.16000000E+02    -0.80412731E-01     0.50000001E-01     0.50000001E-01     0.54808110E-02     112     0.12650980E-03
-0.10000012E+01     0.11532666E+00     0.11176390E-01     0.16000000E+02    -0.85161000E-01     0.50000001E-01     0.50000001E-01     0.51240874E-02     115     0.87599081E-04
 0.00000000E+00     0.24564071E+00     0.11002800E-01     0.16000000E+02    -0.89290909E-01     0.50000001E-01     0.50000001E-01     0.49281563E-02     117     0.50125935E-03
 0.99999946E+00     0.37471753E+00     0.10941117E-01     0.16000000E+02    -0.92944779E-01     0.50000001E-01     0.50000001E-01     0.48497617E-02     119     0.12935195E-02
 0.19999989E+01     0.50237894E+00     0.10973912E-01     0.16000000E+02    -0.96143216E-01     0.50000001E-01     0.50000001E-01     0.48709875E-02     121     0.24939163E-02
 0.29999983E+01     0.62865937E+00     0.11094659E-01     0.16000000E+02    -0.98952815E-01     0.50000001E-01     0.50000001E-01     0.49845120E-02     123     0.41134544E-02
 0.39999995E+01     0.75285816E+00     0.11296649E-01     0.16000000E+02    -0.10125125E+00     0.50000001E-01     0.50000001E-01     0.51841070E-02     124     0.50816769E-02
