  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2026_WT2a_T24               
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.24000000E+02    -0.10557051E+01     0.11751650E+00     0.13000000E+02    -0.37687249E-01     0.59383178E+00     0.96318843E-02     0.11431946E+00      91     0.88342518E-01
-0.23000002E+02    -0.10356588E+01     0.10615785E+00     0.13000000E+02    -0.48026759E-01     0.58207595E+00     0.10228081E-01     0.10281606E+00      92     0.80575325E-01
-0.22000000E+02    -0.10024880E+01     0.97320653E-01     0.13000000E+02    -0.55638179E-01     0.57087582E+00     0.10543149E-01     0.93861133E-01      93     0.73082849E-01
-0.21500002E+02    -0.96209943E+00     0.95886163E-01     0.13000000E+02    -0.60614321E-01     0.56618714E+00     0.10788163E-01     0.92416093E-01      93     0.73082849E-01
-0.21000000E+02    -0.96848273E+00     0.88838167E-01     0.13000000E+02    -0.62364116E-01     0.56339282E+00     0.10991519E-01     0.85274935E-01      93     0.73082849E-01
-0.20500000E+02    -0.92995083E+00     0.87339640E-01     0.13000000E+02    -0.65883406E-01     0.55610400E+00     0.11248592E-01     0.83764568E-01      94     0.65897331E-01
-0.20000002E+02    -0.91369414E+00     0.83120935E-01     0.13000000E+02    -0.68480633E-01     0.55282563E+00     0.11441325E-01     0.79498097E-01      94     0.65897331E-01
-0.19500000E+02    -0.89372355E+00     0.79533808E-01     0.13000000E+02    -0.70677347E-01     0.54959637E+00     0.11670102E-01     0.75874411E-01      94     0.65897331E-01
-0.19000002E+02    -0.87273258E+00     0.76046146E-01     0.13000000E+02    -0.72792739E-01     0.54316866E+00     0.11890963E-01     0.72336502E-01      95     0.59052423E-01
-0.18500002E+02    -0.85267168E+00     0.72422199E-01     0.13000000E+02    -0.74981071E-01     0.54007953E+00     0.12197698E-01     0.68675786E-01      95     0.59052423E-01
-0.18000000E+02    -0.82709754E+00     0.69638319E-01     0.13000000E+02    -0.76639421E-01     0.53702104E+00     0.12443480E-01     0.65864041E-01      96     0.52581672E-01
-0.17500000E+02    -0.80463231E+00     0.66357285E-01     0.13000000E+02    -0.78607075E-01     0.53100878E+00     0.12659740E-01     0.62536545E-01      96     0.52581672E-01
